i succeeded failed fraction_success
0 50765 2365 0.955487
1 52898 232 0.995633
2 53126 4 0.999925
3 53117 13 0.999755
4 53103 27 0.999492
5 53090 40 0.999247
6 53086 44 0.999172
7 53016 114 0.997854
8 53044 86 0.998381
9 53024 106 0.998005
10 53014 116 0.997817
11 52972 158 0.997026
12 53015 115 0.997835
13 52878 252 0.995257
14 53000 130 0.997553
15 52983 147 0.997233
16 52946 184 0.996537
17 52824 306 0.994241
18 52948 182 0.996574
19 52813 317 0.994034
20 52934 196 0.996311
21 52888 242 0.995445
22 52748 382 0.99281
23 52611 519 0.990232
24 52836 294 0.994466
25 52561 569 0.98929
26 52965 165 0.996894
27 52974 156 0.997064
28 52978 152 0.997139
29 52782 348 0.99345
30 52943 187 0.99648
31 52598 532 0.989987
32 52770 360 0.993224
33 52733 397 0.992528
34 52628 502 0.990551
35 52688 442 0.991681
36 52870 260 0.995106
37 52228 902 0.983023
38 52395 735 0.986166
39 52443 687 0.987069
40 52751 379 0.992867
41 52074 1056 0.980124
42 52618 512 0.990363
43 52075 1055 0.980143
44 52548 582 0.989046
45 52497 633 0.988086
46 52185 945 0.982213
47 51714 1416 0.973348
48 52661 469 0.991173
49 51930 1200 0.977414
50 52383 747 0.98594
51 52195 935 0.982402
52 52035 1095 0.97939
53 51383 1747 0.967118
54 52291 839 0.984209
55 52081 1049 0.980256
56 52384 746 0.985959
57 51863 1267 0.976153
58 51241 1889 0.964446
59 51133 1997 0.962413
60 52534 596 0.988782
61 50991 2139 0.95974
62 50948 2182 0.958931
63 51949 1181 0.977772
64 51863 1267 0.976153
65 51638 1492 0.971918
66 52019 1111 0.979089
67 50529 2601 0.951045
68 51461 1669 0.968586
69 51468 1662 0.968718
70 51848 1282 0.975871
71 50423 2707 0.94905
72 52337 793 0.985074
73 50045 3085 0.941935
74 50478 2652 0.950085
75 51617 1513 0.971523
76 51275 1855 0.965086
77 51136 1994 0.962469
78 51259 1871 0.964784
79 49887 3243 0.938961
80 51846 1284 0.975833
81 50588 2542 0.952155
82 49730 3400 0.936006
83 49304 3826 0.927988
84 51980 1150 0.978355
85 50684 2446 0.953962
86 49824 3306 0.937775
87 50018 3112 0.941427
88 51362 1768 0.966723
89 49151 3979 0.925108
90 51554 1576 0.970337
91 50132 2998 0.943572
92 50414 2716 0.94888
93 49577 3553 0.933126
94 49226 3904 0.92652
95 50210 2920 0.94504
96 51758 1372 0.974177
97 48641 4489 0.915509
98 49843 3287 0.938133
99 50511 2619 0.950706

total 5186335 126665 0.976159
